date,state_id,store_id,dept_id,cat_id,item_id,wm_yr_wk,d,ventas,sell_price,year,month,wday,weekday,event_name_1,event_type_1,event_name_2,event_type_2
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_090,11249,d_704,0,1.25,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_120,11249,d_704,0,4.98,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_202,11249,d_704,20,4.28,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_252,11249,d_704,34,1.48,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_288,11249,d_704,0,,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_329,11249,d_704,39,2.98,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_555,11249,d_704,9,1.58,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_586,11249,d_704,50,1.58,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_587,11249,d_704,23,2.68,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_3,FOODS_3,FOODS,FOODS_3_714,11249,d_704,17,1.48,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_090,11249,d_704,33,1.25,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_120,11249,d_704,0,4.98,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_202,11249,d_704,5,4.28,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_252,11249,d_704,6,1.48,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_288,11249,d_704,0,,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_329,11249,d_704,0,2.98,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_555,11249,d_704,7,1.58,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_586,11249,d_704,9,1.58,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_587,11249,d_704,12,2.68,2013,1,4,Tuesday,NewYear,National,,
2013-01-01,CA,CA_4,FOODS_3,FOODS,FOODS_3_714,11249,d_704,7,1.48,2013,1,4,Tuesday,NewYear,National,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_090,11249,d_705,224,1.25,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_120,11249,d_705,0,4.98,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_202,11249,d_705,23,4.28,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_252,11249,d_705,27,1.48,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_288,11249,d_705,0,,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_329,11249,d_705,75,2.98,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_555,11249,d_705,31,1.58,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_586,11249,d_705,62,1.58,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_587,11249,d_705,24,2.68,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_3,FOODS_3,FOODS,FOODS_3_714,11249,d_705,16,1.48,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_4,FOODS_3,FOODS,FOODS_3_090,11249,d_705,32,1.25,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_4,FOODS_3,FOODS,FOODS_3_120,11249,d_705,0,4.98,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_4,FOODS_3,FOODS,FOODS_3_202,11249,d_705,5,4.28,2013,1,5,Wednesday,,,,
2013-01-02,CA,CA_4,FOODS_3,FOODS,FOODS_3_252,11249,d_705,5,1.48,2013,1,5,Wednesday,,,,
